Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
Forth Smart Service Public Company Limited,SET:FSMART,"89,712,070","267,264,430","33,671,089",NA,NA,NA,NA,NA,NA,"25,729,394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396,164,800"
Zensar Technologies Limited,BSE:504067,"2,767,334","136,373,863","1,139,572",NA,NA,NA,"5,000,000",NA,NA,"87,002,903",NA,NA,NA,"8,057,548",NA,NA,NA,NA,NA,NA,NA,"1,159,999","86,157,130","108,018"
Hyosung Advanced Materials Corporation,KOSE:A298050,"1,048,404","2,422,680","42,861",NA,NA,NA,NA,"401,423",NA,"333,301",NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,"996,938"
Tropical Canning (Thailand) Public Company Limited,SET:TC,"87,835,000","161,035,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81,130,000",NA
PT Garudafood Putra Putri Jaya Tbk,IDX:GOOD,"13,189,051,360","5,372,609,490",NA,NA,NA,NA,NA,NA,NA,"66,048,865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,473,000",NA,"7,173,204,641","11,133,317,364"
Xtep International Holdings Limited,SEHK:1368,"74,060,568","1,220,335,757","439,000",NA,NA,NA,NA,"1,214,341",NA,"464,266,376",NA,NA,NA,NA,NA,"1,000,000",NA,NA,NA,NA,NA,NA,"1,230,059,500",NA
Duc Giang Chemicals Group Joint Stock Company,HOSE:DGC,"75,714,821","301,450,832","6,115,600",NA,NA,NA,NA,NA,NA,"38,781,134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,612,760",NA
China MeiDong Auto Holdings Limited,SEHK:1268,"707,402,000","638,845,201","10,635,666",NA,NA,NA,NA,"4,162,570",NA,"340,743,923",NA,NA,NA,"14,832,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thai Union Group Public Company Limited,SET:TU,"1,234,785,040","2,967,533,540","622,188",NA,NA,NA,"14,789,700","1,124,896",NA,"771,136,783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250,814,116",NA,NA
Philippine Seven Corporation,PSE:SEVN,"41,924,944","223,529,435",NA,NA,NA,NA,NA,NA,NA,"116,889,470","17,342,411",NA,NA,NA,NA,NA,NA,NA,NA,NA,"243,563",NA,"69,310,334","421,410,007"
Glenmark Pharmaceuticals Limited,NSEI:GLENMARK,"10,685,508","138,151,892","6,364,694",NA,NA,NA,NA,NA,NA,"81,382,417","128,325",NA,NA,"4,131,378",NA,"192,850",NA,NA,NA,NA,NA,"358,820","132,991,936",NA
Rojukiss International Public Company Limited,SET:KISS,"110,319,460","207,950,462","79,338",NA,NA,NA,NA,NA,"9,749,600","304,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"281,740,078",NA
Phu Nhuan Jewelry Joint Stock Company,HOSE:PNJ,"89,368,812","244,980,984","2,967,218",NA,NA,NA,NA,NA,NA,"161,937,914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209,825",NA
VSTECS Holdings Limited,SEHK:856,"600,364,400","584,313,600","6,450,915",NA,NA,NA,NA,NA,NA,"386,899,267",NA,NA,NA,"4,000",NA,"454,000",NA,NA,NA,NA,NA,NA,NA,"252,211,998"
PT Medikaloka Hermina Tbk,IDX:HEAL,"9,464,581,779","4,210,970,656",NA,NA,NA,NA,NA,NA,NA,"662,969,691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,110,824,000"
Nam Long Investment Corporation,HOSE:NLG,"83,463,307","277,053,188","8,830,200",NA,NA,NA,NA,NA,NA,"102,483,668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24,260,976",NA
PT Catur Sentosa Adiprana Tbk,IDX:CSAP,"329,541,442","461,354,714",NA,NA,NA,NA,NA,NA,NA,"17,806,300",NA,NA,NA,NA,NA,NA,"1,317,370,188",NA,NA,NA,NA,NA,"1,819,108,716","1,755,800,091"
Huhtamaki India Limited,BSE:509820,"6,303,703","17,756,958","925,900",NA,NA,NA,NA,NA,NA,"737,429",NA,NA,NA,"2,413,258",NA,NA,NA,NA,NA,NA,NA,"307,276",NA,"51,153,997"
Time Technoplast Limited,NSEI:TIMETECHNO,"17,864,537","107,102,759",NA,NA,NA,NA,NA,NA,NA,"26,912,202",NA,NA,NA,"11,829,371",NA,NA,NA,NA,NA,NA,NA,"10,024","101,951,746",NA
FPT Corporation,HOSE:FPT,"158,021,656","987,953,259","30,409,727",NA,"18,410,503",NA,NA,NA,NA,"376,993,723",NA,NA,NA,"104,704",NA,NA,NA,NA,"73,032,620",NA,NA,NA,"50,961,340",NA
Prism Johnson Limited,BSE:500338,"68,250,923","210,171,733","92,638,460",NA,NA,NA,NA,NA,NA,"47,988,876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,546,138","221,387,786",NA
PT Pakuwon Jati Tbk,IDX:PWON,"11,739,040","15,066,832,860","92,108,992",NA,NA,NA,NA,NA,NA,"6,305,947,704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33,081,030,500",NA
PT Bank BTPN Syariah Tbk,IDX:BTPS,"721,700","2,309,772,200","20,573,578",NA,NA,NA,NA,NA,NA,"881,401,918",NA,NA,NA,"46,419,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,392,590,000"
CESC Limited,NSEI:CESC,"2,844,500","654,725,321","29,025,140",NA,NA,NA,NA,NA,NA,"358,463,746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,447,409","605,306,640","57,246,560"
Arvind Limited,BSE:500101,"1,617,438","146,783,078","3,600,000",NA,NA,NA,NA,NA,NA,"52,301,530",NA,NA,NA,"3,854,170",NA,NA,NA,NA,NA,NA,"4,327,317","1,308,914","103,466,256","4,127,471"
Jubilant Pharmova Limited,BSE:530019,"12,550,425","52,852,798","6,213,060",NA,NA,NA,NA,NA,NA,"9,764,722",NA,NA,NA,"1,912,681",NA,NA,"11,939,881",NA,NA,NA,"931,894","1,983,053","78,813,631",NA
PT Ace Hardware Indonesia Tbk,IDX:ACES,"2,807,100","6,832,682,600","241,746,822",NA,NA,NA,NA,NA,NA,"1,626,037,262",NA,"4,800,000",NA,"700,000",NA,"37,670,000",NA,NA,NA,NA,NA,NA,"10,284,900,000",NA
Fu Shou Yuan International Group Limited,SEHK:1448,"233,006,904","1,234,696,518","20,595,441",NA,NA,NA,NA,NA,"151,482,000","299,795,595",NA,NA,NA,"2,661,500",NA,NA,NA,NA,NA,NA,NA,NA,"803,360,000",NA
LG Uplus Corp.,KOSE:A032640,"62,800","265,342,177","3,459,943",NA,NA,NA,NA,"28,673,622",NA,"94,306,331",NA,NA,NA,"64,369",NA,"11,112",NA,NA,NA,NA,"1,000",NA,NA,"164,422,375"
Blue Moon Group Holdings Limited,SEHK:6993,"4,449,569,000","868,501,906","6,816,573",NA,NA,NA,NA,NA,NA,"44,152,745",NA,NA,NA,NA,NA,NA,NA,"544,922,500",NA,NA,NA,NA,NA,NA
ITEQ Corporation,TWSE:6213,"5,609,636","192,621,629","4,643,250",NA,NA,NA,NA,NA,"17,282,403","20,692,664",NA,NA,NA,"219,000",NA,"8,767,271",NA,NA,NA,NA,NA,NA,"87,151,995","77,573,958"
Sea Limited,NYSE:SE,"87,952,064","278,384,082","30,847,341","209,232","950,148","31,550","2,125,655","5,269,725","100,787","186,300,448","151,732",NA,NA,"72,082,481","984,482","8,344,553",NA,NA,NA,NA,NA,"45,575","13,019,103","104,264,743"
Ramkhamhaeng Hospital Public Company Limited,SET:RAM,"221,226,300","257,829,545",NA,NA,NA,NA,NA,NA,NA,"16,967,146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"560,144,075","160,800,080"
PT Astra International Tbk,IDX:ASII,"15,709,000","20,179,589,100","83,879,924",NA,NA,NA,NA,"2,868,121",NA,"6,101,464,030",NA,NA,NA,"2,511,324",NA,"387,000",NA,NA,NA,NA,NA,NA,NA,"20,288,255,040"
Gemadept Corporation,HOSE:GMD,"1,925,457","303,973,100","70,000",NA,NA,NA,NA,NA,NA,"88,714,460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S.J.S. Enterprises Limited,NSEI:SJS,"6,335,340","23,093,258","416,073",NA,NA,NA,NA,NA,NA,"13,115,117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,609,306",NA
Aditya Birla Capital Limited,NSEI:ABCAPITAL,"7,016,877","802,022,254","3,914,455",NA,NA,"925,687",NA,NA,NA,"174,384,846",NA,NA,NA,"5,078",NA,"192,974,651",NA,NA,NA,NA,NA,"13,049","260,346,048","1,530,563,524"
Triple i Logistics Public Company Limited,SET:III,"263,962,885","518,790,235",NA,NA,NA,NA,NA,NA,NA,"10,654,664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT GoTo Gojek Tokopedia Tbk,IDX:GOTO,"43,728,305,722","683,181,503,092","2,808,428,560",NA,NA,NA,NA,"284,008,100",NA,"77,375,638,237",NA,NA,NA,"49,177,242",NA,NA,NA,NA,NA,NA,"67,684,166,155","65,502,428,625","118,448,797,869","104,731,124,993"
EC Healthcare,SEHK:2138,"726,484,726","458,726,539","2,912,819",NA,"11,506,792",NA,NA,NA,NA,"123,294,903",NA,NA,NA,"1,266,386",NA,"19,231,639",NA,NA,NA,NA,NA,NA,NA,NA
Shangri-La Asia Limited,SEHK:69,"93,365,885","980,963,750","17,954,316",NA,NA,NA,NA,"416,000",NA,"299,393,726",NA,NA,NA,NA,NA,"38,000",NA,NA,NA,NA,NA,NA,"2,448,692,439","39,405,927"
One97 Communications Limited,NSEI:PAYTM,"124,743,548","160,868,420","2,242,466",NA,NA,NA,NA,"11,212,232",NA,"85,826,660","17,000",NA,NA,"208,644",NA,"29,180,478",NA,"155,953,615",NA,NA,NA,"2,086","125,554,043","68,025,757"
Impro Precision Industries Limited,SEHK:1286,"1,357,957,787","334,468,101",NA,NA,NA,NA,NA,NA,NA,"166,706,051",NA,NA,NA,NA,NA,NA,NA,"104,205,123",NA,NA,NA,NA,"90,654,654",NA
SCGJWD Logistics Public Company Limited,SET:SJWD,"577,161,779","457,052,226","12,973,766",NA,NA,NA,NA,NA,NA,"12,574,558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"776,806,301"
NSL Foods Public Company Limited,SET:NSL,"219,057,300","80,942,700","3,973,965",NA,NA,NA,NA,NA,"2,659,200","372,158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Jasa Marga (Persero) Tbk,IDX:JSMR,"1,967,900","1,752,423,635","132,078,155",NA,NA,NA,NA,NA,"159,509,900","227,819,710",NA,NA,NA,NA,NA,"10,034,900",NA,NA,NA,NA,NA,"5,080,509,840","422,969,825",NA
Mega Lifesciences Public Company Limited,SET:MEGA,"527,748,413","344,121,095","46,779,512",NA,NA,NA,NA,NA,NA,"100,071,054",NA,"134,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Global Digital Niaga Tbk,IDX:BELI,"240,717,060","21,370,311,711","281,004,968",NA,"53,039,300",NA,NA,NA,NA,"26,350,596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99,155,152,000",NA
Taiwan Paiho Limited,TWSE:9938,"26,357,550","251,236,594","4,086,492",NA,NA,NA,NA,NA,"23,363,000","35,170,672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20,369,856",NA
"Hanssem Co., Ltd.",KOSE:A009240,"15,545","5,840,031","13,924",NA,NA,NA,NA,"1,269,327",NA,"760,254",NA,NA,NA,NA,NA,112,"2,279,645",NA,NA,NA,"4,190",NA,"8,460,911",NA
PLDT Inc.,PSE:TEL,"1,577,294","80,112,859","2,041,469",NA,NA,NA,"169,299","328,545","288,000","15,754,194",NA,NA,NA,"2,705,273",NA,"86,723",NA,NA,NA,NA,NA,"9,798,081","27,101,165","97,516,476"
FPT Securities Joint Stock Company,HOSE:FTS,"5,704,627","114,813,778",NA,NA,NA,NA,NA,NA,NA,"8,180,371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94,046,582"
Malaysia Airports Holdings Berhad,KLSE:AIRPORT,NA,"972,282,550","17,272,700",NA,"10,934,835",NA,NA,"240,550,033",NA,"291,114,422",NA,NA,NA,"422,388","29,473,019","9,600",NA,NA,"653,014,374",NA,NA,"28,164,104","6,164,834","8,928,570"
"The Nature Holdings Co., Ltd.",KOSDAQ:A298540,"3,301,897","9,009,331","390,755",NA,NA,NA,NA,"956,639",NA,"2,297,246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,848",NA,"2,400,000",NA
Modern Dental Group Limited,SEHK:3600,"165,379,302","311,459,435",NA,NA,NA,NA,NA,NA,NA,"28,719,395",NA,NA,NA,NA,NA,"66,012",NA,NA,NA,NA,NA,NA,"470,459,263",NA
Upson International Corp.,PSE:UPSON,"2,445,580,300","294,094,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"385,327,000",NA,NA,NA,NA,NA,NA,NA
Susco Public Company Limited,SET:SUSCO,"343,202,460","656,787,596",NA,NA,NA,NA,NA,NA,"12,841,000","21,698,511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT Ultrajaya Milk Industry & Trading Company Tbk,IDX:ULTJ,"4,066,384,160","3,859,486,780","1,633,279,418",NA,NA,NA,NA,NA,NA,"310,848,002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,472,304,260",NA
Shriram Finance Limited,BSE:511218,NA,"272,991,118","20,897,845",NA,"7,840,080",NA,NA,"483,618",NA,"140,565,879","160,000",NA,NA,"4,619,204",NA,"207,321",NA,NA,NA,NA,NA,"22,449,022","80,269,617",NA
PT Midi Utama Indonesia Tbk,IDX:MIDI,"224,460,000","7,435,361,800",NA,NA,NA,NA,NA,NA,NA,"106,561,900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,775,473,000",NA
"Cebu Air, Inc.",PSE:CEB,"4,122,378","209,577,458","7,807,561",NA,NA,NA,NA,NA,NA,"48,139,905",NA,NA,NA,NA,NA,"3,000,000",NA,NA,NA,NA,"880,000",NA,NA,"407,412,031"
"Zinus, Inc",KOSE:A013890,"1,411,297","11,024,036","641,117",NA,NA,NA,NA,"831,852",NA,"1,657,712",NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,"7,688,938"
Lungyen Life Service Corporation,TPEX:5530,NA,NA,"3,310,084",NA,NA,NA,NA,NA,NA,"11,063,105",NA,NA,NA,NA,NA,"2,999",NA,NA,NA,NA,NA,NA,NA,NA
MakeMyTrip Limited,NasdaqGS:MMYT,"3,109,875","53,127,337","344,659",NA,NA,"40,353","60,962","562,049",NA,"46,048,419",NA,NA,NA,"4,927,248",922,NA,NA,NA,NA,NA,NA,NA,"2,386,028","50,441,605"
FPT Digital Retail Joint Stock Company,HOSE:FRT,"252,138","135,990,251","2,661,000",NA,NA,NA,NA,NA,NA,"27,012,431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Premier Marketing Public Company Limited,SET:PM,"62,450,000","222,301,800",NA,NA,"3,564,800",NA,NA,NA,NA,"5,565,034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"273,368,200"
Banpu Public Company Limited,SET:BANPU,"345,369,033","8,632,610,194","2,035,100",NA,NA,NA,NA,"3,263,514",NA,"1,301,299,616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,040,923,498",NA
Supalai Public Company Limited,SET:SPALI,"700,515,694","1,226,840,711","4,667,723",NA,NA,NA,NA,NA,NA,"346,911,344",NA,NA,NA,"2,593,949",NA,NA,NA,NA,NA,NA,NA,"25,697,625",NA,NA
RS Public Company Limited,SET:RS,"363,966,563","705,778,930",NA,NA,NA,NA,NA,NA,NA,"198,469,432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoa Sen Group,HOSE:HSG,"107,744,014","508,238,295","10,610,000",NA,NA,NA,NA,NA,NA,"80,561,263",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China State Construction International Holdings Limited,SEHK:3311,"6,441,463","1,463,374,336","548,000",NA,NA,NA,NA,"5,761,239",NA,"502,331,230",NA,NA,NA,"754,300",NA,NA,NA,NA,"302,824,733",NA,NA,NA,"3,264,976,136",NA
"111, Inc.",NasdaqGM:YI,"39,091,910","32,613,360","1,100,165",NA,NA,NA,"3,963",NA,NA,"221,032",NA,NA,NA,"650,399",NA,"4,572,698",NA,"7,924,132",NA,NA,NA,NA,"4,363,839",NA
Kasikornbank Public Company Limited,SET:KBANK,"4,699,455","2,310,401,738","68,639,935",NA,NA,NA,NA,"7,208,900",NA,"613,903,376","309,102",NA,NA,"2,050,000",NA,NA,NA,NA,NA,NA,NA,"54,226,400",NA,NA
City Developments Limited,SGX:C09,"397,226","380,308,675","6,636,897","4,301,106",NA,NA,"102,422","1,602,266",NA,"125,628,919","37,000","99,500",NA,"36,543",NA,"18,100",NA,NA,NA,NA,NA,NA,"526,195,429",NA
Duopharma Biotech Berhad,KLSE:DPHARMA,"2,684,920","455,757,168",NA,NA,NA,"18,283,500",NA,"94,810,436","3,089,900","54,808,896",NA,NA,NA,NA,NA,"11,326,538",NA,NA,"488,431,565",NA,NA,NA,"15,068,798",NA
PT Cardig Aero Services Tbk,IDX:CASS,"5,500,000","353,514,900",NA,NA,NA,NA,NA,NA,NA,"671,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"858,714,300","869,220,800"
"San Miguel Food and Beverage, Inc.",PSE:FB,"604,700","642,750,520",NA,NA,NA,NA,NA,NA,NA,"3,287,360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"271,030",NA,"20,511,400","5,245,082,440"
PRTR Group Public Company Limited,SET:PRTR,"335,158,200","174,841,800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90,000,000"
IndoStar Capital Finance Limited,NSEI:INDOSTAR,"3,379,834","30,641,235",NA,NA,NA,NA,NA,NA,NA,"3,229,582","76,482,638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,575,588",NA
PT M Cash Integrasi Tbk,IDX:MCAS,"124,725,700","429,227,200",NA,NA,NA,NA,NA,NA,NA,"203,345,599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"241,666,500",NA
China Modern Dairy Holdings Ltd.,SEHK:1117,"153,663","2,959,674,336","9,834,091",NA,NA,NA,NA,NA,NA,"296,004,928",NA,NA,NA,"1,907,352",NA,NA,NA,NA,NA,NA,NA,NA,"1,036,845,763","3,918,988,286"
Kingsoft Corporation Limited,SEHK:3888,"271,328,698","918,172,950","17,714,217",NA,NA,NA,NA,"70,924,760",NA,"466,354,348",NA,NA,NA,"1,447,148",NA,"10,600",NA,NA,NA,NA,NA,NA,NA,"145,123,372"
Kolte-Patil Developers Limited,NSEI:KOLTEPATIL,"56,640,670","19,351,845","1,143,683",NA,NA,NA,NA,NA,NA,"6,514,332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,894",NA,NA
Marksans Pharma Limited,NSEI:MARKSANS,"203,714,733","199,423,225",NA,NA,NA,NA,NA,NA,NA,"29,341,790",NA,NA,NA,NA,NA,NA,NA,"49,324,324",NA,NA,NA,"701,464",NA,NA
IOL Chemicals and Pharmaceuticals Limited,BSE:524164,"2,350,531","18,365,382",NA,NA,NA,NA,NA,NA,NA,"1,319,889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37,989,589",NA
"Apex International Co., Ltd.",TWSE:4927,"14,241,391","175,696,597","2,692,446",NA,NA,NA,NA,NA,NA,"22,673,386",NA,NA,NA,"1,400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Pattana Public Company Limited,SET:CPN,"217,791,349","3,033,107,003","23,039,081",NA,NA,NA,NA,"816,620",NA,"521,312,158",NA,NA,NA,"9,391",NA,NA,NA,NA,NA,NA,NA,"60,757,688","1,176,343,960",NA
"IMAX China Holding, Inc.",SEHK:1970,"2,822,998","92,995,261","1,580,981",NA,NA,NA,NA,NA,NA,"11,403,155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"243,262,600"
IDICO Corporation - JSC,HNX:IDC,NA,"314,815,929",NA,NA,NA,NA,NA,NA,NA,"22,689,958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15,184,000",NA
